Total Required Credits:,30
RULE,Minimum number of following group 1 courses required,1
COMS W4111,B
COMS W4112,S
COMS W4115,B
COMS W4117,T
COMS W4118,B
CSEE W4119,B
COMS W4130,F
CSEE W4140,T
COMS W4156,F
COMS W4180,T
COMS W4187,T
CSEE W4823,T
CSEE W4824,F
CSEE W4840,S
EECS 4340,F
COMS W4444,F
RULE,Minimum number of following group 2 courses required,1
COMS W4203,S
COMS W4205,F
CSOR W4231,B
COMS W4236,S
COMS W4241,S
COMS W4252,T
COMS W4261,T
COMS W4281,T
RULE,Minimum number of following group 3 courses required,1
COMS W4701,B
COMS W4705,F
COMS W4706,S
COMS W4725,T
COMS W4731,T
COMS W4733,T
COMS W4735,T
COMS W4737,T
CBMF W4761,T
COMS W4771,S
COMS W4772,F
COMS W4160,S
COMS W4162,T
COMS W4167,T
COMS W4170,F
COMS W4172,S
RULE,Minimum number of group 1 2 and 3 courses required,4
COMS W4111,B
COMS W4112,S
COMS W4115,B
COMS W4117,T
COMS W4118,B
CSEE W4119,B
COMS W4130,F
CSEE W4140,T
COMS W4156,F
COMS W4180,T
COMS W4187,T
CSEE W4823,T
CSEE W4824,F
CSEE W4840,S
EECS 4340,F
COMS W4444,F
COMS W4203,S
COMS W4205,F
CSOR W4231,B
COMS W4236,S
COMS W4241,S
COMS W4252,T
COMS W4261,T
COMS W4281,T
COMS W4701,B
COMS W4705,F
COMS W4706,S
COMS W4725,T
COMS W4731,T
COMS W4733,T
COMS W4735,T
COMS W4737,T
CBMF W4761,T
COMS W4771,S
COMS W4772,F
COMS W4160,S
COMS W4162,T
COMS W4167,T
COMS W4170,F
COMS W4172,S

